trial_id,n_params,train_time_s,best_epoch,best_monitor,stopped_epoch,threshold,val_auc_roc,val_average_precision,val_accuracy,val_precision,val_recall,val_f1,embedding_dim,encoder_layers,dropout,tcn_hidden,disc_hidden,lr,batch_size,wae_regularization_term
151,94458,127.12482380867004,19,3.4654770493507385,24.0,0.043498694896698,1.0,1.0,0.9994855967078189,0.9993145990404386,1.0,0.9996571820363387,32,2,0.0,64,16,0.0003,64,5.0
133,30458,109.50410652160645,16,3.469994232058525,21.0,0.03545672935433686,1.0,1.0,0.9994855967078189,0.9993145990404386,1.0,0.9996571820363387,32,2,0.0,32,16,0.0003,32,5.0
230,43258,123.48818588256836,13,6.907865256071091,18.0,0.12550810631364584,1.0,1.0,0.9994855967078189,0.9993145990404386,1.0,0.9996571820363387,32,3,0.1,32,16,0.0003,32,10.0
149,94458,108.27662658691406,12,3.4581590741872787,17.0,0.01835307222791016,0.9999985887426825,0.99999952990332,0.9994855967078189,0.9993145990404386,1.0,0.9996571820363387,32,2,0.0,64,16,0.0003,32,5.0
186,105994,147.76382875442505,13,6.654761254787445,18.0,0.25579550862312317,0.9999985887426825,0.99999952990332,0.9994855967078189,0.9993145990404386,1.0,0.9996571820363387,32,2,0.1,64,32,0.0001,32,10.0
157,105994,100.58968591690063,10,3.364496111869812,15.0,0.0647620395757258,1.0,1.0,0.9989711934156379,0.9986301369863013,1.0,0.9993145990404386,32,2,0.0,64,32,0.0003,32,5.0
143,41994,83.22395181655884,17,3.3779877722263336,22.0,0.11964643374085426,1.0,1.0,0.9989711934156379,0.9986301369863013,1.0,0.9993145990404386,32,2,0.0,32,32,0.0003,64,5.0
127,148986,94.61337184906006,7,3.397636830806732,12.0,0.2508427295833826,1.0,1.0,0.9989711934156379,0.9986301369863013,1.0,0.9993145990404386,16,3,0.1,64,32,0.0003,64,5.0
23,88298,111.6126298904419,9,3.4138057827949524,14.0,0.09365261439234018,1.0,1.0,0.9989711934156379,0.9986301369863013,1.0,0.9993145990404386,16,2,0.0,64,16,0.0003,64,5.0
135,30458,92.21556162834167,21,3.4249128997325897,26.0,0.06633658660575747,1.0,1.0,0.9989711934156379,0.9986301369863013,1.0,0.9993145990404386,32,2,0.0,32,16,0.0003,64,5.0
187,105994,163.73895049095154,18,3.4782347977161407,23.0,0.1850559003651142,1.0,1.0,0.9989711934156379,0.9986301369863013,1.0,0.9993145990404386,32,2,0.1,64,32,0.0001,64,5.0
185,105994,106.80580282211304,8,3.5345188677310944,13.0,0.20387172512710094,1.0,1.0,0.9989711934156379,0.9986301369863013,1.0,0.9993145990404386,32,2,0.1,64,32,0.0001,32,5.0
144,41994,75.63813018798828,15,6.787867724895477,20.0,0.15202397294342518,1.0,1.0,0.9989711934156379,0.9986301369863013,1.0,0.9993145990404386,32,2,0.0,32,32,0.0003,64,10.0
158,105994,112.21936869621277,12,6.8519242107868195,17.0,0.055728198029100895,1.0,1.0,0.9989711934156379,0.9986301369863013,1.0,0.9993145990404386,32,2,0.0,64,32,0.0003,32,10.0
190,105994,114.05607414245605,9,6.867840588092804,14.0,0.08418039046227932,1.0,1.0,0.9989711934156379,0.9986301369863013,1.0,0.9993145990404386,32,2,0.1,64,32,0.0003,32,10.0
182,94458,133.47683835029602,12,6.894481509923935,17.0,0.041875727009028196,1.0,1.0,0.9989711934156379,0.9986301369863013,1.0,0.9993145990404386,32,2,0.1,64,16,0.0003,32,10.0
122,148986,179.82327938079834,12,6.920751392841339,17.0,0.22593791037797928,1.0,1.0,0.9989711934156379,0.9986301369863013,1.0,0.9993145990404386,16,3,0.1,64,32,0.0001,32,10.0
166,30458,106.72228050231934,15,6.958393305540085,20.0,0.073472173884511,1.0,1.0,0.9989711934156379,0.9986301369863013,1.0,0.9993145990404386,32,2,0.1,32,16,0.0003,32,10.0
178,94458,95.24082541465759,8,7.0429670214653015,13.0,0.20111960358917713,1.0,1.0,0.9989711934156379,0.9986301369863013,1.0,0.9993145990404386,32,2,0.1,64,16,0.0001,32,10.0
97,40714,172.44053506851196,16,3.60149946808815,21.0,0.32758230715990067,0.9999943549707305,0.9999981212214358,0.9989711934156379,0.9993141289437586,0.9993141289437586,0.9993141289437586,16,3,0.1,32,16,0.0001,32,5.0
99,40714,213.11464881896973,30,3.730973392724991,,0.33584731817245483,0.9999844761695089,0.999994851041029,0.9989711934156379,0.9993141289437586,0.9993141289437586,0.9993141289437586,16,3,0.1,32,16,0.0001,64,5.0
183,94458,53.93365788459778,3,3.2327440679073334,8.0,0.33102932572364807,0.9999788311402394,0.9999929974359758,0.9989711934156379,0.9993141289437586,0.9993141289437586,0.9993141289437586,32,2,0.1,64,16,0.0003,64,5.0
243,144634,106.74803376197815,7,3.506640136241913,12.0,0.3819458521902561,0.9999604847951137,0.9999869930614271,0.9989711934156379,0.9993141289437586,0.9993141289437586,0.9993141289437586,32,3,0.1,64,16,0.0001,64,5.0
214,144634,53.577930212020874,1,6.409934163093567,6.0,0.416967548429966,0.999923792104862,0.999975250142721,0.9989711934156379,0.9993141289437586,0.9993141289437586,0.9993141289437586,32,3,0.0,64,16,0.0003,32,10.0
197,43258,85.80289840698242,9,3.362251102924347,14.0,0.12277769204229116,1.0,1.0,0.9984567901234568,0.997946611909651,1.0,0.998972250770812,32,3,0.0,32,16,0.0003,32,5.0
31,98810,163.27874374389648,13,3.395021915435791,18.0,0.07769031636416912,1.0,1.0,0.9984567901234568,0.997946611909651,1.0,0.998972250770812,16,2,0.0,64,32,0.0003,64,5.0
15,38426,123.28514409065247,19,3.40438911318779,24.0,0.11768906377255917,1.0,1.0,0.9984567901234568,0.997946611909651,1.0,0.998972250770812,16,2,0.0,32,32,0.0003,64,5.0
181,94458,125.36386466026306,11,3.4056155532598495,16.0,0.04133491590619087,1.0,1.0,0.9984567901234568,0.997946611909651,1.0,0.998972250770812,32,2,0.1,64,16,0.0003,32,5.0
53,88298,144.73326992988586,10,3.423227369785309,15.0,0.05419449647888541,1.0,1.0,0.9984567901234568,0.997946611909651,1.0,0.998972250770812,16,2,0.1,64,16,0.0003,32,5.0
7,27914,131.548659324646,25,3.4398684203624725,30.0,0.07015319773927331,1.0,1.0,0.9984567901234568,0.997946611909651,1.0,0.998972250770812,16,2,0.0,32,16,0.0003,64,5.0
37,27914,121.59624195098877,12,3.483467698097229,17.0,0.08437007199972868,1.0,1.0,0.9984567901234568,0.997946611909651,1.0,0.998972250770812,16,2,0.1,32,16,0.0003,32,5.0
199,43258,138.96979117393494,24,3.4953694343566895,29.0,0.07185203395783901,1.0,1.0,0.9984567901234568,0.997946611909651,1.0,0.998972250770812,32,3,0.0,32,16,0.0003,64,5.0
81,138474,275.77585792541504,18,3.5009743124246597,23.0,0.06342002423480153,1.0,1.0,0.9984567901234568,0.997946611909651,1.0,0.998972250770812,16,3,0.0,64,16,0.0001,32,5.0
111,51226,149.6780617237091,20,3.5064494907855988,25.0,0.18265488371253014,1.0,1.0,0.9984567901234568,0.997946611909651,1.0,0.998972250770812,16,3,0.1,32,32,0.0003,64,5.0
115,138474,266.7610595226288,28,3.5278101563453674,,0.10526997223496437,1.0,1.0,0.9984567901234568,0.997946611909651,1.0,0.998972250770812,16,3,0.1,64,16,0.0001,64,5.0
123,148986,666.7154352664948,17,3.5673192143440247,22.0,0.23069706372916698,1.0,1.0,0.9984567901234568,0.997946611909651,1.0,0.998972250770812,16,3,0.1,64,32,0.0001,64,5.0
113,138474,118.32761287689209,7,3.607023671269417,12.0,0.27186235412955284,1.0,1.0,0.9984567901234568,0.997946611909651,1.0,0.998972250770812,16,3,0.1,64,16,0.0001,32,5.0
206,54794,101.38019490242004,11,6.6391302943229675,16.0,0.20252486877143383,1.0,1.0,0.9984567901234568,0.997946611909651,1.0,0.998972250770812,32,3,0.0,32,32,0.0003,32,10.0
94,148986,119.57503700256348,4,6.667763292789459,9.0,0.17080757208168507,1.0,1.0,0.9984567901234568,0.997946611909651,1.0,0.998972250770812,16,3,0.0,64,32,0.0003,32,10.0
14,38426,83.00185680389404,8,6.689823567867279,13.0,0.1912685465067625,1.0,1.0,0.9984567901234568,0.997946611909651,1.0,0.998972250770812,16,2,0.0,32,32,0.0003,32,10.0
110,51226,190.05483651161194,21,6.737192243337631,26.0,0.1097658583894372,1.0,1.0,0.9984567901234568,0.997946611909651,1.0,0.998972250770812,16,3,0.1,32,32,0.0003,32,10.0
46,38426,110.94126677513123,10,6.740528970956802,15.0,0.21662225015461445,1.0,1.0,0.9984567901234568,0.997946611909651,1.0,0.998972250770812,16,2,0.1,32,32,0.0003,32,10.0
174,41994,96.16343641281128,12,6.761341899633408,17.0,0.16042720340192318,1.0,1.0,0.9984567901234568,0.997946611909651,1.0,0.998972250770812,32,2,0.1,32,32,0.0003,32,10.0
192,105994,135.1631360054016,14,6.797289788722992,19.0,0.08139714784920216,1.0,1.0,0.9984567901234568,0.997946611909651,1.0,0.998972250770812,32,2,0.1,64,32,0.0003,64,10.0
32,98810,154.5700078010559,12,6.815161466598511,17.0,0.09214354492723942,1.0,1.0,0.9984567901234568,0.997946611909651,1.0,0.998972250770812,16,2,0.0,64,32,0.0003,64,10.0
30,98810,102.73064136505127,6,6.844721019268036,11.0,0.09485899470746517,1.0,1.0,0.9984567901234568,0.997946611909651,1.0,0.998972250770812,16,2,0.0,64,32,0.0003,32,10.0
256,156170,162.86734104156494,13,6.880261421203613,18.0,0.10967631731182337,1.0,1.0,0.9984567901234568,0.997946611909651,1.0,0.998972250770812,32,3,0.1,64,32,0.0003,64,10.0
238,54794,100.23081135749817,9,6.885625123977661,14.0,0.24340966902673244,1.0,1.0,0.9984567901234568,0.997946611909651,1.0,0.998972250770812,32,3,0.1,32,32,0.0003,32,10.0
70,40714,108.94041538238525,10,6.910529911518097,15.0,0.14061289187520742,1.0,1.0,0.9984567901234568,0.997946611909651,1.0,0.998972250770812,16,3,0.0,32,16,0.0003,32,10.0
8,27914,94.72498512268066,16,6.916895270347595,21.0,0.12622830364853144,1.0,1.0,0.9984567901234568,0.997946611909651,1.0,0.998972250770812,16,2,0.0,32,16,0.0003,64,10.0
154,105994,86.05751657485962,8,6.978552758693695,13.0,0.21564391627907753,1.0,1.0,0.9984567901234568,0.997946611909651,1.0,0.998972250770812,32,2,0.0,64,32,0.0001,32,10.0
112,51226,169.0412757396698,24,6.987130701541901,29.0,0.19254040718078613,1.0,1.0,0.9984567901234568,0.997946611909651,1.0,0.998972250770812,16,3,0.1,32,32,0.0003,64,10.0
80,51226,130.1148042678833,12,7.0271315574646,17.0,0.29782862216234207,0.9999985887426825,0.99999952990332,0.9984567901234568,0.997946611909651,1.0,0.998972250770812,16,3,0.0,32,32,0.0003,64,10.0
129,30458,69.9776406288147,9,3.6510168313980103,14.0,0.31016844138503075,0.9999957662280479,0.9999985916405416,0.9984567901234568,0.997946611909651,1.0,0.998972250770812,32,2,0.0,32,16,0.0001,32,5.0
