Model,Accuracy,Precision (macro),Recall (macro),F1 (macro),AUC-ROC (macro),Latency (ms/sample),# Params
Transformer,0.9989711934156379,0.9989754098360656,0.9989711934156379,0.9989711890598869,0.9999996863872628,7.349345686900372,67844
GAT,0.9969135802469136,0.9969177618208915,0.9969135802469136,0.9969135671796608,0.9999449609646226,0.009624340192167638,5924
WAE-GAN+XGB,0.9674211248285323,0.9673014893937836,0.9674211248285323,0.967331714693485,0.9983627847054832,0.01787944718787523,102635
